f	k2	P	P_fit	P_n	P_s
6.6100	1724.8950	4.7390e-04	5.1322e-04	4.7874e-04	3.4480e-05
6.6200	1730.1180	4.6725e-04	5.1187e-04	4.7832e-04	3.3559e-05
6.6300	1735.3489	4.6104e-04	5.1055e-04	4.7789e-04	3.2661e-05
6.6400	1740.5876	4.5526e-04	5.0925e-04	4.7747e-04	3.1786e-05
6.6500	1745.8343	4.4990e-04	5.0798e-04	4.7705e-04	3.0933e-05
6.6600	1751.0889	4.4495e-04	5.0673e-04	4.7663e-04	3.0102e-05
6.6700	1756.3514	4.4041e-04	5.0550e-04	4.7621e-04	2.9291e-05
6.6800	1761.6217	4.3627e-04	5.0429e-04	4.7579e-04	2.8502e-05
6.6900	1766.9000	4.3251e-04	5.0311e-04	4.7538e-04	2.7733e-05
6.7000	1772.1862	4.2912e-04	5.0195e-04	4.7496e-04	2.6983e-05
6.7100	1777.4802	4.2609e-04	5.0080e-04	4.7455e-04	2.6252e-05
6.7200	1782.7822	4.2341e-04	4.9968e-04	4.7414e-04	2.5541e-05
6.7300	1788.0920	4.2106e-04	4.9858e-04	4.7373e-04	2.4847e-05
6.7400	1793.4098	4.1904e-04	4.9749e-04	4.7332e-04	2.4171e-05
6.7500	1798.7354	4.1732e-04	4.9643e-04	4.7292e-04	2.3513e-05
6.7600	1804.0689	4.1589e-04	4.9538e-04	4.7251e-04	2.2872e-05
6.7700	1809.4104	4.1474e-04	4.9436e-04	4.7211e-04	2.2247e-05
6.7800	1814.7597	4.1384e-04	4.9334e-04	4.7171e-04	2.1639e-05
6.7900	1820.1169	4.1319e-04	4.9235e-04	4.7131e-04	2.1046e-05
6.8000	1825.4820	4.1275e-04	4.9138e-04	4.7091e-04	2.0469e-05
6.8100	1830.8550	4.1252e-04	4.9042e-04	4.7051e-04	1.9907e-05
6.8200	1836.2360	4.1246e-04	4.8947e-04	4.7011e-04	1.9359e-05
6.8300	1841.6248	4.1256e-04	4.8854e-04	4.6972e-04	1.8826e-05
6.8400	1847.0215	4.1279e-04	4.8763e-04	4.6932e-04	1.8306e-05
6.8500	1852.4261	4.1313e-04	4.8673e-04	4.6893e-04	1.7800e-05
6.8600	1857.8385	4.1355e-04	4.8585e-04	4.6854e-04	1.7308e-05
6.8700	1863.2589	4.1402e-04	4.8498e-04	4.6815e-04	1.6828e-05
6.8800	1868.6872	4.1452e-04	4.8413e-04	4.6777e-04	1.6361e-05
6.8900	1874.1234	4.1501e-04	4.8329e-04	4.6738e-04	1.5907e-05
6.9000	1879.5675	4.1546e-04	4.8246e-04	4.6700e-04	1.5464e-05
6.9100	1885.0194	4.1585e-04	4.8165e-04	4.6661e-04	1.5033e-05
6.9200	1890.4793	4.1613e-04	4.8085e-04	4.6623e-04	1.4613e-05
6.9300	1895.9471	4.1629e-04	4.8006e-04	4.6585e-04	1.4205e-05
6.9400	1901.4227	4.1629e-04	4.7928e-04	4.6547e-04	1.3807e-05
6.9500	1906.9063	4.1609e-04	4.7852e-04	4.6510e-04	1.3420e-05
6.9600	1912.3977	4.1568e-04	4.7776e-04	4.6472e-04	1.3044e-05
6.9700	1917.8971	4.1502e-04	4.7702e-04	4.6435e-04	1.2677e-05
6.9800	1923.4043	4.1410e-04	4.7629e-04	4.6397e-04	1.2320e-05
6.9900	1928.9194	4.1288e-04	4.7557e-04	4.6360e-04	1.1973e-05
7.0000	1934.4425	4.1136e-04	4.7487e-04	4.6323e-04	1.1635e-05
7.0100	1939.9734	4.0952e-04	4.7417e-04	4.6286e-04	1.1306e-05
7.0200	1945.5122	4.0736e-04	4.7348e-04	4.6250e-04	1.0986e-05
7.0300	1951.0589	4.0486e-04	4.7280e-04	4.6213e-04	1.0675e-05
7.0400	1956.6135	4.0203e-04	4.7214e-04	4.6177e-04	1.0372e-05
7.0500	1962.1761	3.9887e-04	4.7148e-04	4.6140e-04	1.0077e-05
7.0600	1967.7465	3.9539e-04	4.7083e-04	4.6104e-04	9.7900e-06
7.0700	1973.3248	3.9161e-04	4.7019e-04	4.6068e-04	9.5110e-06
7.0800	1978.9110	3.8754e-04	4.6956e-04	4.6032e-04	9.2395e-06
7.0900	1984.5050	3.8320e-04	4.6894e-04	4.5996e-04	8.9754e-06
7.1000	1990.1070	3.7862e-04	4.6833e-04	4.5961e-04	8.7184e-06
7.1100	1995.7169	3.7382e-04	4.6772e-04	4.5925e-04	8.4685e-06
7.1200	2001.3347	3.6884e-04	4.6713e-04	4.5890e-04	8.2254e-06
7.1300	2006.9604	3.6370e-04	4.6654e-04	4.5855e-04	7.9890e-06
7.1400	2012.5939	3.5844e-04	4.6596e-04	4.5820e-04	7.7591e-06
7.1500	2018.2354	3.5308e-04	4.6539e-04	4.5785e-04	7.5354e-06
7.1600	2023.8848	3.4767e-04	4.6482e-04	4.5750e-04	7.3179e-06
7.1700	2029.5420	3.4222e-04	4.6426e-04	4.5716e-04	7.1064e-06
7.1800	2035.2072	3.3676e-04	4.6371e-04	4.5681e-04	6.9007e-06
7.1900	2040.8802	3.3134e-04	4.6317e-04	4.5647e-04	6.7007e-06
7.2000	2046.5612	3.2597e-04	4.6263e-04	4.5613e-04	6.5063e-06
7.2100	2052.2500	3.2068e-04	4.6211e-04	4.5579e-04	6.3172e-06
7.2200	2057.9467	3.1548e-04	4.6158e-04	4.5545e-04	6.1333e-06
7.2300	2063.6514	3.1041e-04	4.6107e-04	4.5511e-04	5.9546e-06
7.2400	2069.3639	3.0548e-04	4.6056e-04	4.5478e-04	5.7808e-06
7.2500	2075.0843	3.0071e-04	4.6005e-04	4.5444e-04	5.6119e-06
7.2600	2080.8126	2.9612e-04	4.5955e-04	4.5411e-04	5.4477e-06
7.2700	2086.5489	2.9171e-04	4.5906e-04	4.5378e-04	5.2881e-06
7.2800	2092.2930	2.8749e-04	4.5858e-04	4.5344e-04	5.1329e-06
7.2900	2098.0450	2.8349e-04	4.5810e-04	4.5312e-04	4.9821e-06
7.3000	2103.8049	2.7970e-04	4.5762e-04	4.5279e-04	4.8356e-06
7.3100	2109.5727	2.7613e-04	4.5715e-04	4.5246e-04	4.6931e-06
7.3200	2115.3484	2.7280e-04	4.5669e-04	4.5214e-04	4.5547e-06
7.3300	2121.1320	2.6970e-04	4.5623e-04	4.5181e-04	4.4201e-06
7.3400	2126.9234	2.6684e-04	4.5578e-04	4.5149e-04	4.2894e-06
7.3500	2132.7228	2.6422e-04	4.5533e-04	4.5117e-04	4.1624e-06
7.3600	2138.5301	2.6185e-04	4.5489e-04	4.5085e-04	4.0389e-06
7.3700	2144.3453	2.5972e-04	4.5445e-04	4.5053e-04	3.9190e-06
7.3800	2150.1683	2.5785e-04	4.5402e-04	4.5021e-04	3.8024e-06
7.3900	2155.9993	2.5624e-04	4.5359e-04	4.4990e-04	3.6892e-06
7.4000	2161.8381	2.5487e-04	4.5316e-04	4.4958e-04	3.5792e-06
7.4100	2167.6849	2.5377e-04	4.5274e-04	4.4927e-04	3.4723e-06
7.4200	2173.5396	2.5292e-04	4.5233e-04	4.4896e-04	3.3685e-06
7.4300	2179.4021	2.5234e-04	4.5192e-04	4.4865e-04	3.2677e-06
7.4400	2185.2725	2.5202e-04	4.5151e-04	4.4834e-04	3.1697e-06
7.4500	2191.1509	2.5196e-04	4.5111e-04	4.4803e-04	3.0746e-06
7.4600	2197.0371	2.5218e-04	4.5071e-04	4.4773e-04	2.9822e-06
7.4700	2202.9312	2.5267e-04	4.5032e-04	4.4742e-04	2.8924e-06
7.4800	2208.8333	2.5343e-04	4.4993e-04	4.4712e-04	2.8053e-06
7.4900	2214.7432	2.5447e-04	4.4954e-04	4.4682e-04	2.7206e-06
7.5000	2220.6610	2.5580e-04	4.4916e-04	4.4652e-04	2.6384e-06
7.5100	2226.5867	2.5742e-04	4.4878e-04	4.4622e-04	2.5586e-06
7.5200	2232.5203	2.5932e-04	4.4840e-04	4.4592e-04	2.4811e-06
7.5300	2238.4618	2.6153e-04	4.4803e-04	4.4562e-04	2.4058e-06
7.5400	2244.4112	2.6403e-04	4.4766e-04	4.4533e-04	2.3328e-06
7.5500	2250.3685	2.6685e-04	4.4730e-04	4.4503e-04	2.2618e-06
7.5600	2256.3337	2.6998e-04	4.4694e-04	4.4474e-04	2.1929e-06
7.5700	2262.3068	2.7343e-04	4.4658e-04	4.4445e-04	2.1261e-06
7.5800	2268.2878	2.7720e-04	4.4622e-04	4.4416e-04	2.0612e-06
7.5900	2274.2766	2.8131e-04	4.4587e-04	4.4387e-04	1.9982e-06
7.6000	2280.2734	2.8575e-04	4.4552e-04	4.4359e-04	1.9370e-06
7.6100	2286.2781	2.9053e-04	4.4518e-04	4.4330e-04	1.8776e-06
7.6200	2292.2906	2.9565e-04	4.4483e-04	4.4301e-04	1.8200e-06
7.6300	2298.3111	3.0113e-04	4.4450e-04	4.4273e-04	1.7641e-06
7.6400	2304.3394	3.0694e-04	4.4416e-04	4.4245e-04	1.7098e-06
7.6500	2310.3757	3.1311e-04	4.4383e-04	4.4217e-04	1.6571e-06
7.6600	2316.4198	3.1962e-04	4.4350e-04	4.4189e-04	1.6060e-06
7.6700	2322.4719	3.2647e-04	4.4317e-04	4.4161e-04	1.5564e-06
7.6800	2328.5318	3.3366e-04	4.4284e-04	4.4134e-04	1.5083e-06
7.6900	2334.5997	3.4117e-04	4.4252e-04	4.4106e-04	1.4615e-06
7.7000	2340.6754	3.4898e-04	4.4220e-04	4.4079e-04	1.4162e-06
7.7100	2346.7590	3.5708e-04	4.4189e-04	4.4051e-04	1.3723e-06
7.7200	2352.8505	3.6545e-04	4.4157e-04	4.4024e-04	1.3296e-06
7.7300	2358.9499	3.7405e-04	4.4126e-04	4.3997e-04	1.2882e-06
7.7400	2365.0573	3.8285e-04	4.4095e-04	4.3970e-04	1.2481e-06
7.7500	2371.1725	3.9181e-04	4.4064e-04	4.3944e-04	1.2091e-06
7.7600	2377.2956	4.0088e-04	4.4034e-04	4.3917e-04	1.1713e-06
7.7700	2383.4266	4.1000e-04	4.4004e-04	4.3890e-04	1.1347e-06
7.7800	2389.5655	4.1913e-04	4.3974e-04	4.3864e-04	1.0991e-06
7.7900	2395.7122	4.2818e-04	4.3944e-04	4.3838e-04	1.0647e-06
7.8000	2401.8669	4.3710e-04	4.3915e-04	4.3812e-04	1.0312e-06
7.8100	2408.0295	4.4580e-04	4.3886e-04	4.3786e-04	9.9881e-07
7.8200	2414.2000	4.5421e-04	4.3857e-04	4.3760e-04	9.6737e-07
7.8300	2420.3784	4.6225e-04	4.3828e-04	4.3734e-04	9.3687e-07
7.8400	2426.5646	4.6984e-04	4.3799e-04	4.3709e-04	9.0730e-07
7.8500	2432.7588	4.7691e-04	4.3771e-04	4.3683e-04	8.7863e-07
7.8600	2438.9608	4.8338e-04	4.3743e-04	4.3658e-04	8.5083e-07
7.8700	2445.1708	4.8919e-04	4.3715e-04	4.3633e-04	8.2387e-07
7.8800	2451.3887	4.9428e-04	4.3687e-04	4.3608e-04	7.9774e-07
7.8900	2457.6144	4.9861e-04	4.3660e-04	4.3583e-04	7.7240e-07
7.9000	2463.8480	5.0215e-04	4.3633e-04	4.3558e-04	7.4784e-07
7.9100	2470.0896	5.0487e-04	4.3606e-04	4.3533e-04	7.2403e-07
7.9200	2476.3390	5.0677e-04	4.3579e-04	4.3509e-04	7.0095e-07
7.9300	2482.5963	5.0786e-04	4.3552e-04	4.3484e-04	6.7857e-07
7.9400	2488.8616	5.0816e-04	4.3526e-04	4.3460e-04	6.5689e-07
7.9500	2495.1347	5.0770e-04	4.3499e-04	4.3436e-04	6.3587e-07
7.9600	2501.4157	5.0653e-04	4.3473e-04	4.3412e-04	6.1550e-07
7.9700	2507.7046	5.0470e-04	4.3447e-04	4.3388e-04	5.9575e-07
7.9800	2514.0014	5.0228e-04	4.3422e-04	4.3364e-04	5.7662e-07
7.9900	2520.3061	4.9933e-04	4.3396e-04	4.3340e-04	5.5808e-07
8.0000	2526.6187	4.9592e-04	4.3371e-04	4.3317e-04	5.4011e-07
8.0100	2532.9392	4.9214e-04	4.3346e-04	4.3294e-04	5.2270e-07
8.0200	2539.2676	4.8805e-04	4.3321e-04	4.3270e-04	5.0583e-07
8.0300	2545.6039	4.8372e-04	4.3296e-04	4.3247e-04	4.8948e-07
8.0400	2551.9481	4.7924e-04	4.3271e-04	4.3224e-04	4.7364e-07
8.0500	2558.3002	4.7465e-04	4.3247e-04	4.3201e-04	4.5830e-07
8.0600	2564.6601	4.7004e-04	4.3223e-04	4.3178e-04	4.4344e-07
8.0700	2571.0280	4.6545e-04	4.3199e-04	4.3156e-04	4.2904e-07
8.0800	2577.4038	4.6094e-04	4.3175e-04	4.3133e-04	4.1509e-07
8.0900	2583.7874	4.5655e-04	4.3151e-04	4.3111e-04	4.0157e-07
8.1000	2590.1790	4.5234e-04	4.3127e-04	4.3089e-04	3.8849e-07
8.1100	2596.5784	4.4833e-04	4.3104e-04	4.3066e-04	3.7581e-07
8.1200	2602.9858	4.4457e-04	4.3081e-04	4.3044e-04	3.6353e-07
8.1300	2609.4010	4.4107e-04	4.3058e-04	4.3023e-04	3.5164e-07
8.1400	2615.8242	4.3788e-04	4.3035e-04	4.3001e-04	3.4012e-07
8.1500	2622.2552	4.3500e-04	4.3012e-04	4.2979e-04	3.2897e-07
8.1600	2628.6941	4.3246e-04	4.2989e-04	4.2958e-04	3.1817e-07
8.1700	2635.1409	4.3028e-04	4.2967e-04	4.2936e-04	3.0771e-07
8.1800	2641.5957	4.2846e-04	4.2945e-04	4.2915e-04	2.9758e-07
8.1900	2648.0583	4.2702e-04	4.2923e-04	4.2894e-04	2.8778e-07
8.2000	2654.5288	4.2597e-04	4.2901e-04	4.2873e-04	2.7829e-07
8.2100	2661.0072	4.2532e-04	4.2879e-04	4.2852e-04	2.6909e-07
8.2200	2667.4935	4.2506e-04	4.2857e-04	4.2831e-04	2.6020e-07
8.2300	2673.9877	4.2521e-04	4.2836e-04	4.2811e-04	2.5158e-07
8.2400	2680.4898	4.2577e-04	4.2814e-04	4.2790e-04	2.4324e-07
8.2500	2686.9998	4.2673e-04	4.2793e-04	4.2770e-04	2.3517e-07
8.2600	2693.5177	4.2811e-04	4.2772e-04	4.2749e-04	2.2736e-07
8.2700	2700.0435	4.2989e-04	4.2751e-04	4.2729e-04	2.1979e-07
8.2800	2706.5771	4.3209e-04	4.2730e-04	4.2709e-04	2.1247e-07
8.2900	2713.1187	4.3468e-04	4.2710e-04	4.2689e-04	2.0539e-07
8.3000	2719.6682	4.3767e-04	4.2689e-04	4.2669e-04	1.9853e-07
8.3100	2726.2256	4.4105e-04	4.2669e-04	4.2650e-04	1.9190e-07
8.3200	2732.7908	4.4481e-04	4.2649e-04	4.2630e-04	1.8547e-07
8.3300	2739.3640	4.4893e-04	4.2629e-04	4.2611e-04	1.7926e-07
8.3400	2745.9450	4.5341e-04	4.2609e-04	4.2592e-04	1.7325e-07
8.3500	2752.5340	4.5822e-04	4.2589e-04	4.2572e-04	1.6743e-07
8.3600	2759.1308	4.6335e-04	4.2570e-04	4.2553e-04	1.6180e-07
8.3700	2765.7356	4.6877e-04	4.2550e-04	4.2534e-04	1.5635e-07
8.3800	2772.3482	4.7445e-04	4.2531e-04	4.2516e-04	1.5108e-07
8.3900	2778.9687	4.8036e-04	4.2512e-04	4.2497e-04	1.4599e-07
8.4000	2785.5971	4.8645e-04	4.2493e-04	4.2478e-04	1.4106e-07
8.4100	2792.2335	4.9270e-04	4.2474e-04	4.2460e-04	1.3628e-07
8.4200	2798.8777	4.9905e-04	4.2455e-04	4.2442e-04	1.3167e-07
8.4300	2805.5298	5.0545e-04	4.2436e-04	4.2424e-04	1.2721e-07
8.4400	2812.1898	5.1185e-04	4.2418e-04	4.2405e-04	1.2289e-07
8.4500	2818.8577	5.1818e-04	4.2399e-04	4.2388e-04	1.1871e-07
8.4600	2825.5335	5.2439e-04	4.2381e-04	4.2370e-04	1.1468e-07
8.4700	2832.2172	5.3040e-04	4.2363e-04	4.2352e-04	1.1077e-07
8.4800	2838.9088	5.3614e-04	4.2345e-04	4.2334e-04	1.0699e-07
8.4900	2845.6083	5.4155e-04	4.2327e-04	4.2317e-04	1.0334e-07
8.5000	2852.3157	5.4657e-04	4.2310e-04	4.2300e-04	9.9810e-08
8.5100	2859.0310	5.5111e-04	4.2292e-04	4.2282e-04	9.6395e-08
8.5200	2865.7541	5.5512e-04	4.2275e-04	4.2265e-04	9.3093e-08
8.5300	2872.4852	5.5854e-04	4.2257e-04	4.2248e-04	8.9900e-08
8.5400	2879.2242	5.6132e-04	4.2240e-04	4.2231e-04	8.6814e-08
8.5500	2885.9710	5.6342e-04	4.2223e-04	4.2215e-04	8.3830e-08
8.5600	2892.7258	5.6481e-04	4.2206e-04	4.2198e-04	8.0945e-08
8.5700	2899.4884	5.6546e-04	4.2189e-04	4.2182e-04	7.8156e-08
8.5800	2906.2590	5.6537e-04	4.2173e-04	4.2165e-04	7.5460e-08
8.5900	2913.0374	5.6453e-04	4.2156e-04	4.2149e-04	7.2855e-08
8.6000	2919.8238	5.6297e-04	4.2140e-04	4.2133e-04	7.0336e-08
8.6100	2926.6180	5.6070e-04	4.2124e-04	4.2117e-04	6.7902e-08
8.6200	2933.4201	5.5776e-04	4.2107e-04	4.2101e-04	6.5549e-08
8.6300	2940.2302	5.5420e-04	4.2091e-04	4.2085e-04	6.3275e-08
8.6400	2947.0481	5.5007e-04	4.2076e-04	4.2069e-04	6.1078e-08
8.6500	2953.8739	5.4542e-04	4.2060e-04	4.2054e-04	5.8954e-08
8.6600	2960.7076	5.4033e-04	4.2044e-04	4.2038e-04	5.6902e-08
8.6700	2967.5492	5.3487e-04	4.2029e-04	4.2023e-04	5.4919e-08
8.6800	2974.3987	5.2909e-04	4.2013e-04	4.2008e-04	5.3003e-08
8.6900	2981.2561	5.2307e-04	4.1998e-04	4.1993e-04	5.1152e-08
8.7000	2988.1214	5.1687e-04	4.1983e-04	4.1978e-04	4.9363e-08
8.7100	2994.9946	5.1057e-04	4.1968e-04	4.1963e-04	4.7635e-08
8.7200	3001.8757	5.0422e-04	4.1953e-04	4.1948e-04	4.5966e-08
8.7300	3008.7647	4.9789e-04	4.1938e-04	4.1934e-04	4.4353e-08
8.7400	3015.6616	4.9162e-04	4.1924e-04	4.1919e-04	4.2796e-08
8.7500	3022.5663	4.8547e-04	4.1909e-04	4.1905e-04	4.1291e-08
8.7600	3029.4790	4.7947e-04	4.1895e-04	4.1891e-04	3.9837e-08
8.7700	3036.3996	4.7368e-04	4.1880e-04	4.1877e-04	3.8433e-08
8.7800	3043.3280	4.6813e-04	4.1866e-04	4.1863e-04	3.7077e-08
8.7900	3050.2644	4.6284e-04	4.1852e-04	4.1849e-04	3.5768e-08
8.8000	3057.2087	4.5784e-04	4.1838e-04	4.1835e-04	3.4503e-08
8.8100	3064.1608	4.5317e-04	4.1825e-04	4.1821e-04	3.3281e-08
8.8200	3071.1209	4.4882e-04	4.1811e-04	4.1808e-04	3.2102e-08
8.8300	3078.0888	4.4483e-04	4.1797e-04	4.1794e-04	3.0963e-08
8.8400	3085.0646	4.4121e-04	4.1784e-04	4.1781e-04	2.9863e-08
8.8500	3092.0484	4.3796e-04	4.1771e-04	4.1768e-04	2.8801e-08
8.8600	3099.0400	4.3510e-04	4.1758e-04	4.1755e-04	2.7776e-08
8.8700	3106.0395	4.3263e-04	4.1745e-04	4.1742e-04	2.6786e-08
8.8800	3113.0469	4.3055e-04	4.1732e-04	4.1729e-04	2.5831e-08
8.8900	3120.0622	4.2887e-04	4.1719e-04	4.1716e-04	2.4908e-08
8.9000	3127.0855	4.2759e-04	4.1706e-04	4.1704e-04	2.4017e-08
8.9100	3134.1166	4.2671e-04	4.1694e-04	4.1691e-04	2.3158e-08
8.9200	3141.1556	4.2623e-04	4.1681e-04	4.1679e-04	2.2328e-08
8.9300	3148.2025	4.2614e-04	4.1669e-04	4.1667e-04	2.1527e-08
8.9400	3155.2573	4.2645e-04	4.1657e-04	4.1655e-04	2.0754e-08
8.9500	3162.3199	4.2714e-04	4.1645e-04	4.1643e-04	2.0008e-08
8.9600	3169.3905	4.2820e-04	4.1633e-04	4.1631e-04	1.9288e-08
8.9700	3176.4690	4.2964e-04	4.1621e-04	4.1619e-04	1.8593e-08
8.9800	3183.5554	4.3143e-04	4.1609e-04	4.1607e-04	1.7922e-08
8.9900	3190.6497	4.3358e-04	4.1597e-04	4.1596e-04	1.7275e-08
9.0000	3197.7518	4.3605e-04	4.1586e-04	4.1584e-04	1.6650e-08
9.0100	3204.8619	4.3884e-04	4.1575e-04	4.1573e-04	1.6048e-08
9.0200	3211.9798	4.4192e-04	4.1563e-04	4.1562e-04	1.5466e-08
9.0300	3219.1057	4.4528e-04	4.1552e-04	4.1551e-04	1.4905e-08
9.0400	3226.2395	4.4888e-04	4.1541e-04	4.1540e-04	1.4364e-08
9.0500	3233.3811	4.5270e-04	4.1530e-04	4.1529e-04	1.3842e-08
9.0600	3240.5306	4.5671e-04	4.1519e-04	4.1518e-04	1.3338e-08
9.0700	3247.6881	4.6086e-04	4.1509e-04	4.1508e-04	1.2853e-08
9.0800	3254.8534	4.6512e-04	4.1498e-04	4.1497e-04	1.2384e-08
9.0900	3262.0266	4.6943e-04	4.1488e-04	4.1487e-04	1.1932e-08
9.1000	3269.2078	4.7376e-04	4.1478e-04	4.1476e-04	1.1496e-08
9.1100	3276.3968	4.7806e-04	4.1467e-04	4.1466e-04	1.1075e-08
9.1200	3283.5937	4.8225e-04	4.1457e-04	4.1456e-04	1.0670e-08
9.1300	3290.7985	4.8629e-04	4.1447e-04	4.1446e-04	1.0278e-08
9.1400	3298.0112	4.9011e-04	4.1437e-04	4.1436e-04	9.9012e-09
9.1500	3305.2318	4.9366e-04	4.1428e-04	4.1427e-04	9.5374e-09
9.1600	3312.4603	4.9687e-04	4.1418e-04	4.1417e-04	9.1866e-09
9.1700	3319.6967	4.9967e-04	4.1409e-04	4.1408e-04	8.8484e-09
9.1800	3326.9410	5.0202e-04	4.1399e-04	4.1398e-04	8.5222e-09
9.1900	3334.1932	5.0386e-04	4.1390e-04	4.1389e-04	8.2077e-09
9.2000	3341.4533	5.0514e-04	4.1381e-04	4.1380e-04	7.9046e-09
9.2100	3348.7212	5.0582e-04	4.1372e-04	4.1371e-04	7.6123e-09
9.2200	3355.9971	5.0587e-04	4.1363e-04	4.1362e-04	7.3305e-09
9.2300	3363.2809	5.0525e-04	4.1354e-04	4.1353e-04	7.0588e-09
9.2400	3370.5725	5.0397e-04	4.1345e-04	4.1345e-04	6.7970e-09
9.2500	3377.8721	5.0202e-04	4.1337e-04	4.1336e-04	6.5446e-09
9.2600	3385.1796	4.9940e-04	4.1328e-04	4.1328e-04	6.3013e-09
9.2700	3392.4949	4.9614e-04	4.1320e-04	4.1319e-04	6.0668e-09
9.2800	3399.8182	4.9226e-04	4.1312e-04	4.1311e-04	5.8408e-09
9.2900	3407.1493	4.8780e-04	4.1304e-04	4.1303e-04	5.6229e-09
9.3000	3414.4883	4.8282e-04	4.1296e-04	4.1295e-04	5.4130e-09
9.3100	3421.8353	4.7735e-04	4.1288e-04	4.1287e-04	5.2107e-09
9.3200	3429.1901	4.7147e-04	4.1280e-04	4.1280e-04	5.0158e-09
9.3300	3436.5528	4.6523e-04	4.1272e-04	4.1272e-04	4.8279e-09
9.3400	3443.9234	4.5870e-04	4.1265e-04	4.1264e-04	4.6469e-09
9.3500	3451.3020	4.5194e-04	4.1257e-04	4.1257e-04	4.4725e-09
9.3600	3458.6884	4.4501e-04	4.1250e-04	4.1250e-04	4.3045e-09
9.3700	3466.0827	4.3798e-04	4.1243e-04	4.1243e-04	4.1426e-09
9.3800	3473.4849	4.3091e-04	4.1236e-04	4.1236e-04	3.9866e-09
9.3900	3480.8950	4.2385e-04	4.1229e-04	4.1229e-04	3.8364e-09
9.4000	3488.3130	4.1685e-04	4.1222e-04	4.1222e-04	3.6917e-09
9.4100	3495.7389	4.0996e-04	4.1215e-04	4.1215e-04	3.5522e-09
9.4200	3503.1727	4.0323e-04	4.1209e-04	4.1208e-04	3.4180e-09
9.4300	3510.6143	3.9668e-04	4.1202e-04	4.1202e-04	3.2886e-09
9.4400	3518.0639	3.9036e-04	4.1196e-04	4.1196e-04	3.1640e-09
9.4500	3525.5214	3.8430e-04	4.1190e-04	4.1189e-04	3.0440e-09
9.4600	3532.9868	3.7851e-04	4.1183e-04	4.1183e-04	2.9285e-09
9.4700	3540.4600	3.7303e-04	4.1177e-04	4.1177e-04	2.8172e-09
9.4800	3547.9412	3.6786e-04	4.1171e-04	4.1171e-04	2.7100e-09
9.4900	3555.4302	3.6303e-04	4.1166e-04	4.1165e-04	2.6068e-09
9.5000	3562.9272	3.5854e-04	4.1160e-04	4.1160e-04	2.5074e-09
9.5100	3570.4320	3.5441e-04	4.1154e-04	4.1154e-04	2.4117e-09
9.5200	3577.9448	3.5065e-04	4.1149e-04	4.1149e-04	2.3196e-09
9.5300	3585.4654	3.4727e-04	4.1144e-04	4.1143e-04	2.2309e-09
9.5400	3592.9940	3.4426e-04	4.1138e-04	4.1138e-04	2.1455e-09
9.5500	3600.5304	3.4164e-04	4.1133e-04	4.1133e-04	2.0633e-09
9.5600	3608.0747	3.3940e-04	4.1128e-04	4.1128e-04	1.9842e-09
9.5700	3615.6269	3.3756e-04	4.1123e-04	4.1123e-04	1.9080e-09
9.5800	3623.1870	3.3611e-04	4.1118e-04	4.1118e-04	1.8346e-09
9.5900	3630.7551	3.3507e-04	4.1114e-04	4.1114e-04	1.7641e-09
9.6000	3638.3310	3.3442e-04	4.1109e-04	4.1109e-04	1.6961e-09
9.6100	3645.9148	3.3418e-04	4.1105e-04	4.1105e-04	1.6307e-09
9.6200	3653.5065	3.3435e-04	4.1100e-04	4.1100e-04	1.5678e-09
9.6300	3661.1061	3.3493e-04	4.1096e-04	4.1096e-04	1.5072e-09
9.6400	3668.7136	3.3592e-04	4.1092e-04	4.1092e-04	1.4489e-09
9.6500	3676.3289	3.3734e-04	4.1088e-04	4.1088e-04	1.3928e-09
9.6600	3683.9522	3.3917e-04	4.1084e-04	4.1084e-04	1.3389e-09
9.6700	3691.5834	3.4144e-04	4.1080e-04	4.1080e-04	1.2869e-09
9.6800	3699.2225	3.4414e-04	4.1077e-04	4.1077e-04	1.2370e-09
9.6900	3706.8694	3.4727e-04	4.1073e-04	4.1073e-04	1.1889e-09
9.7000	3714.5243	3.5084e-04	4.1070e-04	4.1070e-04	1.1426e-09
9.7100	3722.1871	3.5486e-04	4.1066e-04	4.1066e-04	1.0981e-09
9.7200	3729.8577	3.5932e-04	4.1063e-04	4.1063e-04	1.0553e-09
9.7300	3737.5363	3.6424e-04	4.1060e-04	4.1060e-04	1.0141e-09
9.7400	3745.2227	3.6960e-04	4.1057e-04	4.1057e-04	9.7452e-10
9.7500	3752.9171	3.7540e-04	4.1054e-04	4.1054e-04	9.3641e-10
9.7600	3760.6193	3.8165e-04	4.1051e-04	4.1051e-04	8.9975e-10
9.7700	3768.3294	3.8834e-04	4.1049e-04	4.1049e-04	8.6450e-10
9.7800	3776.0475	3.9544e-04	4.1046e-04	4.1046e-04	8.3059e-10
9.7900	3783.7734	4.0296e-04	4.1044e-04	4.1044e-04	7.9798e-10
9.8000	3791.5072	4.1087e-04	4.1041e-04	4.1041e-04	7.6662e-10
9.8100	3799.2489	4.1914e-04	4.1039e-04	4.1039e-04	7.3646e-10
9.8200	3806.9986	4.2775e-04	4.1037e-04	4.1037e-04	7.0746e-10
9.8300	3814.7561	4.3664e-04	4.1035e-04	4.1035e-04	6.7957e-10
9.8400	3822.5215	4.4577e-04	4.1033e-04	4.1033e-04	6.5276e-10
9.8500	3830.2948	4.5509e-04	4.1032e-04	4.1032e-04	6.2697e-10
